danceability,energy,instrumentalness,valence,tempo,duration_ms,sadproportion,wordcount,Baseline,PostInduction,PostListening,rumination,rumsplit,brainstem,Entrainment,Memory,Conditioning,Imagery,Contagion,Expectancy,Appraisal,LikelyUse
0.72,0.763,0,0.742,101.965,251088,NA,NA,10,9,19,4.916666666666667,High,Yes,No,No,No,No,No,Yes,Yes,1
0.211,0.55,0.165,0.248,141.871,371040,0.07142857142857142,14,12,10,13,4.416666666666667,High,Yes,No,No,No,No,No,No,Yes,0
0.689,0.481,1.03e-6,0.283,80.025,229526,NA,NA,15,17,15,3.6666666666666665,Low,No,No,Yes,Yes,No,No,Yes,Yes,0
0.544,0.298,0.116,0.235,76.962,194413,0.06936416184971098,173,4,6,15,4.083333333333333,High,No,Yes,No,Yes,No,No,Yes,Yes,1
0.649,0.552,6.47e-6,0.158,89.969,253813,0.06818181818181818,44,6,8,7,3.9166666666666665,High,Yes,No,No,No,No,No,Yes,Yes,1
0.346,0.35,1.98e-6,0.315,126.444,229053,0.14925373134328357,67,8,8,7,2.5833333333333335,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.358,0.856,0,0.542,169.81,210787,0.1276595744680851,47,4,14,13,4.25,High,No,No,No,No,No,No,No,No,1
0.575,0.33,0,0.277,95.801,217213,NA,NA,8,21,18,3.6666666666666665,Low,Yes,No,Yes,No,No,No,Yes,Yes,1
0.647,0.804,0,0.516,121.799,173600,NA,NA,4,11,12,4.416666666666667,High,Yes,No,Yes,No,No,No,Yes,Yes,1
0.74,0.613,0.0037200000000000002,0.473,75.023,166606,0.15476190476190477,756,17,16,17,2.9166666666666665,Low,Yes,No,Yes,No,No,No,Yes,Yes,1
0.563,0.592,5.08e-5,0.136,104.016,267933,0.09302325581395349,172,9,19,23,4.833333333333333,High,Yes,No,No,No,Yes,No,Yes,Yes,0
0.663,0.292,0.00499,0.359,112.318,287507,0.0851063829787234,94,10,21,8,4,High,Yes,No,Yes,No,Yes,No,Yes,Yes,0
0.597,0.846,0,0.445,124.041,203693,0.07608695652173914,92,14,16,18,1.5833333333333333,Low,Yes,No,No,Yes,No,No,Yes,No,0
0.776,0.503,0,0.473,110.134,210285,0.03076923076923077,195,6,4,5,3.25,Low,Yes,No,Yes,No,Yes,No,No,Yes,0
0.56,0.442,1.71e-5,0.212,146.448,309600,0.0625,432,5,9,8,4.583333333333333,High,No,No,Yes,No,No,No,Yes,Yes,0
0.428,0.276,5.33e-6,0.0382,99.195,280000,NA,NA,5,6,5,4.333333333333333,High,Yes,No,Yes,No,No,No,Yes,Yes,0
0.522,0.385,0,0.236,89.792,207520,0.078125,64,5,15,18,4,High,Yes,No,No,No,No,No,Yes,Yes,1
0.527,0.835,0,0.654,125.983,176658,0.046875,128,8,21,12,3.0833333333333335,Low,No,No,Yes,No,No,No,Yes,Yes,0
0.457,0.308,1.5e-6,0.272,103.111,178266,NA,NA,12,16,16,4,High,Yes,Yes,Yes,No,No,No,Yes,Yes,1
0.587,0.767,0,0.664,100.38,201707,0.08029197080291971,137,7,11,8,4.5,High,Yes,No,No,No,No,Yes,Yes,Yes,1
0.546,0.814,0,0.146,104.98,285653,0.10526315789473684,57,4,4,6,4.083333333333333,High,Yes,No,No,No,Yes,No,Yes,Yes,0
0.265,0.127,0.391,0.0757,147.734,371320,0.05555555555555555,1350,5,17,18,4.666666666666667,High,Yes,No,No,No,Yes,No,Yes,Yes,1
0.319,0.651,4.73e-5,0.474,118.501,272200,NA,NA,19,23,24,3.8333333333333335,Low,Yes,No,No,No,No,No,Yes,Yes,1
0.351,0.296,0,0.12,115.284,200186,NA,NA,6,17,18,4.166666666666667,High,Yes,No,Yes,No,No,No,Yes,Yes,1
0.56,0.442,1.71e-5,0.212,146.448,309600,0.0625,432,12,19,13,4.333333333333333,High,Yes,No,No,No,No,No,Yes,Yes,0
0.31,0.74,9.73e-6,0.0874,81.948,230243,0.019230769230769232,52,10,11,12,4.666666666666667,High,No,No,No,No,Yes,No,Yes,Yes,1
0.444,0.0924,0,0.219,108.917,248808,0.03260869565217391,92,8,9,12,3.4166666666666665,Low,Yes,Yes,No,No,No,No,No,Yes,1
0.673,0.686,1.84e-4,0.662,126.09,211573,0.06,50,10,20,13,3.75,Low,No,No,Yes,No,No,No,Yes,No,1
0.383,0.659,0,0.327,140.795,353027,0.07446808510638298,94,6,6,7,3.8333333333333335,Low,Yes,No,No,No,No,No,Yes,Yes,1
0.497,0.734,0,0.384,139.096,196480,0.0861244019138756,209,20,23,22,3.3333333333333335,Low,No,No,No,No,No,No,No,No,0
0.486,0.45,2.06e-6,0.55,100.456,254293,NA,NA,6,15,6,3.5833333333333335,Low,Yes,No,No,Yes,Yes,Yes,Yes,Yes,0
0.739,0.341,1.1e-6,0.231,80.958,266000,NA,NA,6,10,11,3.75,Low,Yes,Yes,No,Yes,No,No,Yes,Yes,0
0.598,0.343,0.0219,0.419,103.984,202107,0.043478260869565216,184,17,17,20,4,High,Yes,Yes,No,No,No,No,Yes,Yes,1
0.552,0.173,4.01e-4,0.0854,76.97,212040,0.08,50,9,11,10,4.333333333333333,High,Yes,Yes,Yes,No,Yes,No,Yes,Yes,1
0.591,0.934,1.81e-6,0.452,155.968,283733,0.0625,224,18,17,20,4.166666666666667,High,Yes,No,No,Yes,No,No,Yes,Yes,0
0.581,0.163,0,0.475,77.748,189400,0.1518987341772152,79,4,8,8,3.3333333333333335,Low,Yes,Yes,Yes,No,No,No,Yes,Yes,0
0.474,0.707,0,0.224,83.235,252107,0.04477611940298507,268,6,7,9,3.8333333333333335,Low,Yes,No,Yes,No,No,No,Yes,Yes,0
0.35,0.113,2.68e-5,0.151,128.271,218907,0.041666666666666664,48,5,6,8,4.25,High,Yes,No,No,No,No,No,Yes,Yes,1
0.581,0.732,0.00254,0.36,89.994,183333,0.07246376811594203,138,11,12,14,3.9166666666666665,High,No,No,Yes,No,Yes,No,Yes,Yes,0
0.681,0.83,0.00376,0.817,103.777,250133,0.04477611940298507,67,24,18,26,4.166666666666667,High,Yes,No,No,No,No,Yes,Yes,Yes,0
0.584,0.611,1.52e-6,0.188,79.572,241560,0.023809523809523808,84,5,11,12,3.8333333333333335,Low,Yes,No,No,No,Yes,No,Yes,Yes,1
0.422,0.264,0,0.331,119.93,269560,0.11688311688311688,308,4,18,18,3.6666666666666665,Low,No,No,No,Yes,No,No,Yes,Yes,1
0.584,0.536,0,0.44,126.996,243227,0,139,5,5,6,3.5,Low,Yes,No,No,Yes,Yes,Yes,Yes,Yes,0
0.849,0.731,8.87e-5,0.751,97.922,313520,NA,NA,19,11,25,4.333333333333333,High,No,No,No,No,No,No,No,Yes,0
0.47,0.431,0,0.289,157.98,295502,0.02040816326530612,882,8,8,12,3.6666666666666665,Low,Yes,Yes,Yes,No,No,No,Yes,Yes,0
0.612,0.568,0,0.23,116.247,346164,NA,NA,10,22,17,3.75,Low,No,No,Yes,No,No,No,Yes,Yes,0
0.345,0.27,0.112,0.173,79.649,277260,0.07857142857142857,140,11,10,13,4,High,Yes,No,Yes,No,No,No,No,Yes,0
0.689,0.4,1.37e-4,0.559,112.64,255040,NA,NA,6,11,13,3,Low,Yes,No,No,Yes,No,No,Yes,Yes,1
0.513,0.479,0.706,0.282,128.041,288750,0.24242424242424243,33,6,6,7,4.416666666666667,High,Yes,Yes,Yes,No,No,No,Yes,Yes,0
0.575,0.461,1.75e-5,0.266,79.971,222868,NA,NA,7,9,10,4.083333333333333,High,Yes,No,No,No,No,No,Yes,Yes,1
0.236,0.207,8.15e-6,0.0757,147.518,217224,0,66,23,21,27,3.6666666666666665,Low,No,Yes,No,No,No,No,Yes,Yes,1
0.509,0.629,1.99e-6,0.237,80.012,209307,0.22535211267605634,71,10,11,12,4,High,Yes,No,Yes,No,No,No,Yes,Yes,1
0.409,0.137,0,0.106,162.08,225076,0.25,1200,6,12,15,4.083333333333333,High,Yes,No,No,No,Yes,No,Yes,Yes,1
0.56,0.442,1.71e-5,0.212,146.448,309600,0.0625,432,7,9,11,3.0833333333333335,Low,Yes,Yes,No,No,No,No,Yes,Yes,0
0.45,0.335,1.25e-6,0.25,109.908,281235,NA,NA,5,6,7,3.25,Low,Yes,No,Yes,No,No,No,Yes,Yes,1
0.209,0.418,0.00195,0.123,138.265,295533,0.06521739130434782,414,4,5,5,2.6666666666666665,Low,Yes,Yes,Yes,No,No,No,Yes,Yes,0
0.327,0.938,3.79e-6,0.326,162.937,289560,NA,NA,5,6,10,4.083333333333333,High,Yes,No,No,No,No,No,No,Yes,0
0.623,0.93,1.64e-6,0.287,120.119,205613,0.07462686567164178,67,5,9,11,4.166666666666667,High,Yes,No,No,No,No,Yes,Yes,No,0
0.291,0.79,5.61e-6,0.513,155.667,289907,NA,NA,12,17,21,3.8333333333333335,Low,Yes,No,No,No,No,No,Yes,No,1
0.56,0.17,6.75e-6,0.303,94.956,236293,NA,NA,11,15,14,4,High,Yes,Yes,No,Yes,No,No,Yes,Yes,1
0.432,0.261,0.00342,0.273,89.567,258653,0.10891089108910891,404,10,16,20,4.416666666666667,High,Yes,No,Yes,No,No,No,Yes,No,1
0.513,0.199,0,0.228,134.148,226280,0.21153846153846154,52,14,14,14,5,High,No,Yes,Yes,No,Yes,Yes,Yes,Yes,1
0.54,0.584,0.00296,0.244,139.261,386493,0.04878048780487805,82,13,4,14,4.583333333333333,High,No,No,No,No,No,No,No,Yes,1
0.432,0.261,0.00342,0.273,89.567,258653,0.10891089108910891,404,12,13,14,4.75,High,Yes,Yes,Yes,No,Yes,No,Yes,Yes,0
0.422,0.264,0,0.331,119.93,269560,0.11688311688311688,308,12,8,8,3.6666666666666665,Low,Yes,No,No,No,No,No,Yes,No,1
0.828,0.581,9.03e-4,0.145,133.999,200627,0.13333333333333333,105,10,21,25,4.416666666666667,High,Yes,No,Yes,No,Yes,No,Yes,Yes,1
0.296,0.683,0.195,0.272,95.483,280627,0.15492957746478872,71,9,9,13,3.5,Low,Yes,No,No,No,Yes,No,Yes,Yes,1
0.74,0.613,0.0037200000000000002,0.473,75.023,166606,0.15476190476190477,756,24,26,26,5,High,Yes,No,No,Yes,No,No,Yes,Yes,1
0.299,0.613,0.00359,0.306,166.96,306411,0.0379746835443038,79,6,10,14,3.6666666666666665,Low,Yes,No,No,No,No,No,Yes,Yes,0
0.453,0.911,0,0.218,137.011,186147,0.24675324675324675,77,4,6,5,3.4166666666666665,Low,Yes,No,No,No,No,No,Yes,Yes,0
0.581,0.717,1.86e-4,0.316,107.884,236440,0.1346153846153846,52,7,12,13,3.4166666666666665,Low,Yes,No,No,No,No,No,Yes,Yes,1
0.208,0.424,7.01e-5,0.247,148.875,231280,0.04411764705882353,68,15,12,12,4.083333333333333,High,Yes,Yes,No,No,No,No,Yes,Yes,1
0.345,0.0581,3.66e-4,0.304,174.117,189507,NA,NA,7,7,9,3.3333333333333335,Low,Yes,No,No,Yes,No,No,Yes,Yes,0
