danceability,energy,instrumentalness,valence,tempo,duration_ms,sadproportion,wordcount
0.736,0.502,0.0105,0.533,105.003,283840,0.08045977011494253,87
0.568,0.748,2.18e-6,0.623,96.59,256733,0.07692307692307693,208
0.415,0.132,0.137,0.122,169.006,336760,0.09375,32
0.622,0.392,0,0.274,77.991,253000,0.056179775280898875,89
0.409,0.137,0,0.106,162.08,225076,0.25,1200
0.429,0.594,4.95e-6,0.236,150.22,265000,0.08108108108108109,296
0.553,0.586,0,0.443,126.684,196373,0.07368421052631578,380
0.426,0.838,3.02e-6,0.182,81.089,288600,0,61
0.306,0.31,2.72e-5,0.126,207.508,214369,0.0958904109589041,292
0.327,0.938,3.79e-6,0.326,162.937,289560,NA,NA
0.377,0.255,2.08e-4,0.37,125.004,334570,0.08823529411764706,136
0.422,0.226,0.949,0.223,113.163,221839,NA,NA
0.479,0.545,0,0.244,74.897,252733,0.17272727272727273,440
0.209,0.412,0.15,0.162,86.26,305747,0.11428571428571428,35
0.571,0.8,7.29e-5,0.335,104.377,311867,0.017241379310344827,58
0.521,0.633,0,0.287,141.887,293040,0.06140350877192982,114
0.45,0.335,1.25e-6,0.25,109.908,281235,NA,NA
0.457,0.515,0,0.222,74.984,142973,0.10256410256410256,39
0.689,0.4,1.37e-4,0.559,112.64,255040,NA,NA
0.528,0.233,1.08e-4,0.208,89.044,273933,0.04285714285714286,70
0.322,0.28,1.1e-6,0.175,85.794,248467,0.031914893617021274,94
0.599,0.785,0.00336,0.52,140.046,233640,0.24778761061946902,113
0.586,0.23,4.89e-6,0.13,71.422,243200,0.32,50
0.649,0.718,4.26e-6,0.477,79.993,249293,0.029585798816568046,169
0.36,0.684,0,0.2,77.15,342653,0.030864197530864196,162
0.265,0.127,0.391,0.0757,147.734,371320,0.05555555555555555,1350
0.834,0.696,0.713,0.685,123.369,442133,NA,NA
0.715,0.715,0,0.506,134.923,238747,0.06451612903225806,93
0.565,0.654,1.8e-6,0.235,111.968,265427,0.1450381679389313,524
0.563,0.388,0,0.736,92.825,189733,0.07058823529411765,85
0.781,0.262,0,0.338,111.92,193827,0.0958904109589041,73
0.363,0.129,1.52e-6,0.147,80.367,198147,0.07692307692307693,26
0.29,0.574,0,0.48,197.431,282360,0.18181818181818182,66
0.358,0.48,0.00428,0.356,120.317,413947,0.06493506493506493,77
0.507,0.443,7.34e-6,0.157,145.018,230107,0.11224489795918367,98
0.226,0.136,8.07e-6,0.263,79.37,173267,0.15625,32
0.551,0.636,0.00203,0.153,124.996,268467,0.04,50
0.466,0.759,0,0.328,160.033,264373,NA,NA
0.451,0.951,2.39e-6,0.442,162.065,213933,0.1650485436893204,103
0.479,0.545,0,0.244,74.897,252733,0.17272727272727273,440
0.345,0.0581,3.66e-4,0.304,174.117,189507,NA,NA
0.599,0.642,3.33e-5,0.349,115.412,222533,NA,NA
0.514,0.771,0,0.359,136.058,249754,0.07058823529411765,85
0.565,0.942,3.93e-4,0.569,137.972,235000,NA,NA
